package	version	source
R	4.4.1	CRAN
edgeR	4.4.2	Bioconductor
Seurat	5.4.0	CRAN
limma	3.62.2	Bioconductor
fgsea	1.32.4	Bioconductor
scDblFinder	1.20.2	Bioconductor
data.table	1.18.2.1	CRAN
ggplot2	4.0.2	CRAN
RANN	2.6.2	CRAN
infercnv	1.22.0	Bioconductor
copykat	1.2.5	GitHub/installed package
Matrix	session version	CRAN
SeuratObject	session version	CRAN
SingleCellExperiment	session version	Bioconductor
SummarizedExperiment	session version	Bioconductor
AnnotationDbi	session version	Bioconductor
org.Hs.eg.db	session version	Bioconductor
ComplexHeatmap	session version	Bioconductor
circlize	session version	CRAN
patchwork	session version	CRAN
FNN	session version	CRAN
readxl	session version	CRAN
jsonlite	session version	CRAN
digest	session version	CRAN
ggrepel	session version	CRAN
httr	session version	CRAN
ragg	session version	CRAN
readr	session version	CRAN
scales	session version	CRAN
stringr	session version	CRAN
survival	session version	CRAN
svglite	session version	CRAN
BiocParallel	session version	Bioconductor
